Prueba,1485,15,253,40322,0.17037037037037037,159.37549407114625,1006,40680,1.2107142857142856,47
Prueba,1530,26,302,47215,0.19738562091503267,156.341059602649,1014,36290,1.0800595238095239,45
Prueba,1444,24,116,17498,0.08033240997229917,150.8448275862069,1134,41240,1.2273809523809525,46
Prueba,1388,12,402,95147,0.2896253602305475,236.68407960199005,825,45137,1.343363095238095,37
Prueba,1524,24,288,45404,0.1889763779527559,157.65277777777777,1018,49227,1.4650892857142856,37
Prueba,1475,17,229,39156,0.1552542372881356,170.9868995633188,1043,42417,1.2624107142857142,36
Prueba,1461,3,411,67219,0.2813141683778234,163.5498783454988,886,30915,0.9200892857142857,30
Prueba,931,541,724,1291867,0.7776584317937701,1784.346685082873,193,0,0.0,27
Prueba,227,171,167,229756,0.73568281938326,1375.7844311377246,57,0,0.0,4
Prueba,236,169,167,281056,0.7076271186440678,1682.9700598802394,62,0,0.0,9
Prueba,202,182,165,252315,0.8168316831683168,1529.1818181818182,36,0,0.0,3
Prueba,63,289,33,43567,0.5238095238095238,1320.2121212121212,30,0,0.0,0
Prueba,249,125,59,14443,0.23694779116465864,244.79661016949152,186,0,0.0,4
Prueba,378,21,100,29043,0.26455026455026454,290.43,253,0,0.0,12
Prueba,340,1,56,14729,0.16470588235294117,263.01785714285717,255,0,0.0,7
Prueba,380,3,83,24380,0.21842105263157896,293.73493975903614,259,0,0.0,15
Prueba,385,3,1,131,0.0025974025974025974,131.0,362,0,0.0,6
Prueba,434,1,1,144,0.002304147465437788,144.0,417,0,0.0,3
Prueba,380,0,4,524,0.010526315789473684,131.0,363,56442,1.6798214285714284,6
Prueba,1599,9,8,1024,0.0050031269543464665,128.0,1545,239242,7.120297619047619,40
Prueba,1605,7,3,422,0.001869158878504673,140.66666666666666,1562,237904,7.080476190476191,26
Prueba,1681,11,8,1029,0.004759071980963712,128.625,1572,251578,7.487440476190477,45
Prueba,1398,14,17,2730,0.012160228898426323,160.58823529411765,1307,207351,6.171160714285714,36
Prueba,1474,6,5,663,0.0033921302578018998,132.6,1410,219064,6.519761904761905,32
Prueba,1476,8,6,806,0.0040650406504065045,134.33333333333334,1417,223827,6.661517857142857,24
Prueba,1518,14,4,533,0.002635046113306983,133.25,1458,227109,6.759196428571429,26
Prueba,1469,31,4,529,0.002722940776038121,132.25,1387,225410,6.708630952380952,31
Prueba,1523,5,9,1136,0.005909389363099146,126.22222222222223,1443,227053,6.757529761904762,23
Prueba,0,1388,0,0,0,0,0,0,0.0,0
Prueba,0,1564,0,0,0,0,0,0,0.0,0
Prueba,0,1668,0,0,0,0,0,0,0.0,0
Prueba,0,1436,0,0,0,0,0,0,0.0,0
Prueba,0,1644,0,0,0,0,0,0,0.0,0
Prueba,819,605,0,0,0,0,787,129995,3.8688988095238095,19
Prueba,1424,16,4,491,0.0028089887640449437,122.75,1351,211930,6.307440476190476,34
Prueba,1460,8,7,925,0.004794520547945206,132.14285714285714,1409,217409,6.470505952380953,32
Prueba,1514,6,5,644,0.0033025099075297227,128.8,1448,226897,6.752886904761906,29
Prueba,1688,0,9,1243,0.00533175355450237,138.11111111111111,1608,253154,7.534345238095239,36
Prueba,1580,8,9,1213,0.00569620253164557,134.77777777777777,1524,233331,6.944375,30
Prueba,1456,0,4,488,0.0027472527472527475,122.0,1390,213862,6.364940476190476,37
Prueba,1635,5,10,1441,0.0061162079510703364,144.1,1550,244156,7.266547619047619,35
Prueba,1535,5,7,1014,0.004560260586319218,144.85714285714286,1436,228470,6.7997023809523816,27
Prueba,1492,4,6,799,0.004021447721179625,133.16666666666666,1413,221144,6.581666666666668,27
Prueba,1536,24,10,1424,0.006510416666666667,142.4,1455,229907,6.842470238095238,37
Prueba,1526,6,4,528,0.002621231979030144,132.0,1477,227307,6.765089285714287,37
Prueba,1520,0,9,1181,0.0059210526315789476,131.22222222222223,1441,223854,6.662321428571429,30
Prueba,1438,10,8,1071,0.005563282336578581,133.875,1361,213276,6.347499999999999,34
